UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets,Is_Promoted
infalÃ­via,@liv_eumesma,2020-01-02T21:04:23.000Z,"Replying to 
@castrijonSabores de Bubbaloo",,,1,,False
here's a sleep song,@pleasebeasleep,2020-01-02T18:33:05.000Z,"@ClassicKitteh
bubbaloo
here's your cue
hear my song now
buuuuubaloo",ğŸ˜´,,,,False
here's a sleep song,@pleasebeasleep,2020-01-02T06:32:53.000Z,"@ClassicKitteh
bubbaloo
join the queue
catch a wink now
buuuuubaloo",ğŸ˜´,,,,False
Hal,@kaim0nd,2020-01-02T06:01:58.000Z,"He chewed that flesh like bubbaloo and catch fits. This is why shouldn't eat Rare. 
 #Witcher",ğŸ˜·,1,,,False
here's a sleep song,@pleasebeasleep,2020-01-01T18:33:24.000Z,"@ClassicKitteh
bubbaloo
dooba-de-doo
lay your head down
bubbaloo",ğŸ»,,,,False
here's a sleep song,@pleasebeasleep,2020-01-01T06:33:12.000Z,"@ClassicKitteh
bubbaloo
yes it's true
forty winks now
bubbaloo",ğŸ’¤,,,,False
here's a sleep song,@pleasebeasleep,2020-01-04T18:33:33.000Z,"@ClassicKitteh
bubbaloo
join the queue
time to nod off
bubble ooh",ğŸ’¤,,,,False
here's a sleep song,@pleasebeasleep,2020-01-04T06:33:25.000Z,"@ClassicKitteh
bubbaloo
what shall we do?
dream about me
bubbaloo",ğŸ˜´,,,,False
Bwana FuzzicusÂ® Electus Ù†,@MissFuzzball,2020-01-03T20:34:16.000Z,"""Iranian President Hassan Rouhani said that Iran and other 'freedom-seeking countries' in the region will take revenge."" 

The thing is, bubbaloo, the Iranian people are seeking freedom from YOU and the mullahs.",,,,2,False
here's a sleep song,@pleasebeasleep,2020-01-03T18:33:17.000Z,"@ClassicKitteh
babalu
you're my fru
forty winks now
bubbaloo",ğŸ›Œ,,,,False
here's a sleep song,@pleasebeasleep,2020-01-03T06:32:56.000Z,"@ClassicKitteh
bubbaloo
join the queue
it's your bedtime
bubbaloo",,,,,False
CÃ©sar Daniel,@cDaniel1508,2020-01-03T03:19:19.000Z,"BubbalooQuote Tweet
Jigglypuff
@jocgonzaleez_
 Â· Jan 3
Mamerto. twitter.com/Roenrique_/staâ€¦",ğŸ„ âœ¨ ğŸ¡,1,,1,False
Barbie,@BarbieCcs,2020-01-03T01:14:52.000Z,"Replying to 
@karinapowerLil Bubbaloo/ Big Bubbaloo",ğŸª,1,,,False
